Symbol,Name,산업분류(중분류),cheap_mean_3y,MarketPriceProxy,Base_intrinsic,undervaluation_base,Conservative,Base,Optimistic,undervaluation_Conservative,undervaluation_Base,undervaluation_Optimistic,robust_score,final_score
A001810,무림SP,"펄프, 종이 및 종이제품 제조업",0.6758547008547008,0.1896675119792101,-1.0271863434068385,-6.415721083110062,-0.4205076910435653,-1.0309223772463192,-2.211343001202491,-3.2170781208415815,-6.435418889025765,-12.659049977124607,,-1.5867889745056682
A000850,화천기공,기타 기계 및 장비 제조업,0.8049469041866506,3.1413476270372183,-17.78400804885164,-6.661267124907388,-7.195924432487489,-17.696786672425073,-37.95450915189348,-3.290712549783728,-6.633501532944289,-13.082237834878057,,-1.595906685378891
A005720,넥센,고무 및 플라스틱제품 제조업,0.7262163182729221,0.8334741752536923,-4.625038931000951,-6.549108860623288,-1.901684172763601,-4.680399468052908,-10.037757953484318,-3.2816353874248927,-6.615530279181465,-13.043274106758055,,-1.601624499050525
A004970,신라교역,어업,0.19999999999999998,0.85511140403175,-4.003691263257946,-5.682069779891849,-1.6316537495078534,-4.013352270129682,-8.608137605238522,-2.9081183361779495,-5.693367731043226,-11.066685539044576,,-1.6046209339675546
A004150,한솔홀딩스,전문 서비스업,0.5985252871262304,0.2970547996250765,-1.6036662910504027,-6.3985537115523705,-0.6518917848032048,-1.601385321119768,-3.434764054282584,-3.19451692289093,-6.390875094901458,-12.562728690523508,,-1.620303469902596
A058650,세아홀딩스,1차 금속 제조업,0.6999996672926546,15.538701928617122,-87.59393431539293,-6.637146186199378,-35.47898345810426,-87.30820281699953,-187.24558106076967,-3.2832655920095726,-6.618757809891883,-13.050271761499303,,-1.641144022213486
A004440,삼일씨엔에스,비금속 광물제품 제조업,0.5247333872333871,0.4226464425556311,-2.395950195232255,-6.668923132878106,-0.974219030298784,-2.392972252561772,-5.132516750348107,-3.305044908003814,-6.66187719005063,-13.143759496266282,,-1.7383102462467384
A141020,디에스앤엘,소매업; 자동차 제외,0.7700202557391261,0.005154753898295061,-0.0317110432514469,-7.151805474541733,-0.0165417098287019,-0.0384111450615633,-0.0826001613819758,-4.209020285948682,-8.451596297209807,-17.024074671983055,,-1.7605315144929568
A003830,대한화섬,화학물질 및 화학제품 제조업; 의약품 제외,0.6205090257955789,10.259814063830309,-61.19866977396228,-6.964890727377852,-24.84799939223838,-61.05602500293335,-130.9526227678683,-3.4218761897290997,-6.95098747629148,-13.763644833440539,,-1.779212705315566
A900110,이스트아시아홀딩스,전문 서비스업,0.579690650060131,0.012317052448960203,-0.0733143083573587,-6.9522607913834005,-0.0298512756384362,-0.0733411535730724,-0.1573050626133307,-3.4235729905458205,-6.954440307613029,-13.771323599146506,,-1.7958329123849548
A139480,이마트,소매업; 자동차 제외,0.7177658842481768,8.934018744927547,-56.344613351573216,-7.306748951423893,-23.01434723468749,-56.46677894141357,-121.11772212421693,-3.5760352526408465,-7.320423154862264,-14.556913812497173,,-1.8331417433030794
A174880,장원테크,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",0.849827564654063,0.2552550083790109,-1.7063541031795215,-7.684899599093749,-0.6996490481650779,-1.7149997214827668,-3.6787246434189367,-3.7409806867578337,-7.71877011296985,-15.41195871838349,,-1.880556097401093
A012160,영흥,1차 금속 제조업,0.42635205943099036,0.04311291488285202,-0.2619467115171703,-7.075829301473616,-0.105882636058342,-0.2594717875701063,-0.5565814453455509,-3.4559377705276977,-7.018423673628946,-13.90985420164501,,-1.9095727607265895
A003240,태광산업,화학물질 및 화학제품 제조업; 의약품 제외,0.9357249643427359,57.90470837219834,-410.5987083666602,-8.090938196725295,-167.35980734791033,-410.8384565485677,-881.2022243330741,-3.8902625028721225,-8.095078588562975,-16.218144587982483,0.0,-1.9594189768462207
A013580,계룡건설,종합 건설업,0.7818836071013772,1.5374082163085905,-10.8017089171479,-8.025921159107275,-4.366052985255271,-10.75467369294841,-23.064001968863742,-3.8398787901227864,-7.995327317016055,-16.001872452745047,,-2.016834544181494
A024830,세원물산,자동차 및 트레일러 제조업,0.8983018701189733,0.6408639665537316,-4.823498266569344,-8.526555584811351,-1.9533545789954188,-4.806241394957754,-10.308790659887364,-4.048001886421625,-8.499628073651081,-17.08577045659666,,-2.1088157403839185
A012630,HDC,금융업,0.6438496192445217,1.234049775901927,-9.138072464024688,-8.404946415022819,-3.755951250045512,-9.24325469842768,-19.82350748133633,-4.043597854308922,-8.490179795763979,-17.063782732627594,,-2.1995591148845848
A071320,지역난방공사,"전기, 가스, 증기 및 공기조절 공급업",0.7275391275391275,2.531035757905107,-20.391323378244977,-9.05651335211578,-8.135742198042433,-20.078509396832064,-43.05581031604536,-4.2143924370220045,-8.932922059327478,-18.01114264449661,,-2.3531844418651704
A900260,로스웰,전문 서비스업,0.8618098581841863,0.07633935190607397,-0.6632021402588693,-9.687552667133676,-0.2658885199357433,-0.6554654582972275,-1.405771710370631,-4.482981100794331,-9.58620674568597,-19.414771350171502,,-2.47536087104801
A900120,씨엑스아이,전문 서비스업,0.8669654929036268,0.016747585414153426,-0.1736245450322107,-11.367138948010988,-0.0746548375070308,-0.1740461909560683,-0.5797174259953292,-5.457647813752292,-11.392315468293205,-35.614985483543705,,-2.9766589379514827
